hyperparameters,languages,1_translated,1_untranslated,2_translated,2_untranslated,3_translated,3_untranslated
bert-base-multilingual-cased,en,,0.6610169410705566,,0.6610169410705566,,0.6271186470985413
8,lv,0.694915235042572,0.6440678238868713,0.7118644118309021,0.6610169410705566,0.6610169410705566,0.37288135290145874
20,ru,0.6779661178588867,0.6271186470985413,0.694915235042572,0.7627118825912476,0.6271186470985413,0.4576271176338196
0.0001,et,0.5593220591545105,0.5932203531265259,0.7457627058029175,0.7118644118309021,0.6440678238868713,0.2881355881690979
200,lt,0.5932203531265259,0.6271186470985413,0.7118644118309021,0.6440678238868713,0.5593220591545105,0.35593220591545105
